step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,GS_cluster_357187_359543_stopped,GS_cluster_357187_359543_accumulated_waiting_time,GS_cluster_357187_359543_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
25330.0,4,10.0,0.45454545454545453,8.296390126874412,4,13.0,0.4579168415317715,4,13.0
25335.0,3,2.0,0.09090909090909091,8.239272749045794,3,9.0,0.4545202156934187,3,9.0
25340.0,4,14.0,0.5833333333333334,8.163113522975657,4,17.0,0.40128060818134553,4,17.0
25345.0,3,3.0,0.14285714285714285,9.139113152754225,3,14.0,0.4494814201725533,3,14.0
25350.0,3,9.0,0.42857142857142855,8.250091265305672,3,11.0,0.43028735402387336,3,11.0
25355.0,0,0.0,0.0,9.270322914064897,0,3.0,0.5857239185032513,0,3.0
25360.0,2,1.0,0.047619047619047616,9.360698869553406,1,0.0,0.6006043953120547,1,0.0
25365.0,2,1.0,0.047619047619047616,9.464928041982123,2,1.0,0.5573641432612001,2,1.0
25370.0,4,9.0,0.4090909090909091,9.089245347702837,4,9.0,0.49790448151030153,4,9.0
25375.0,1,0.0,0.0,9.0698808672461,1,2.0,0.5939585190896607,1,2.0
25380.0,4,4.0,0.16666666666666666,9.25933140066275,3,3.0,0.5503016508238713,3,3.0
25385.0,1,0.0,0.0,9.276899505703897,1,2.0,0.5983741154333535,1,2.0
25390.0,2,7.0,0.2916666666666667,9.535374961009584,2,7.0,0.5942403491763693,2,7.0
25395.0,0,0.0,0.0,8.650205210743387,0,7.0,0.549053317871355,0,7.0
25400.0,2,5.0,0.18518518518518517,9.659562419642956,2,5.0,0.6003177373159465,2,5.0
25405.0,1,1.0,0.04,8.78056405416611,1,2.0,0.5544273341031104,1,2.0
25410.0,3,11.0,0.44,8.862922051516167,3,11.0,0.5864436546461536,3,11.0
25415.0,2,3.0,0.12,8.156841478758002,1,11.0,0.6138922649619547,1,11.0
25420.0,5,5.0,0.17857142857142858,7.35141659392318,5,8.0,0.4817908460370186,5,8.0
25425.0,2,6.0,0.21428571428571427,7.492077497192237,2,17.0,0.48782437131930917,2,17.0
25430.0,6,27.0,0.9,8.024128502717785,6,30.0,0.5051284210154692,6,30.0
25435.0,3,5.0,0.16666666666666666,7.995248965867317,2,28.0,0.528590891278915,2,28.0
25440.0,3,11.0,0.39285714285714285,7.559854764170998,3,12.0,0.5174181121164945,3,12.0
25445.0,2,3.0,0.11538461538461539,7.231581899401145,1,17.0,0.4682679317249382,1,17.0
25450.0,6,25.0,1.0,7.522464974711368,5,21.0,0.5049006381138913,5,21.0
25455.0,2,1.0,0.043478260869565216,8.629188545386409,2,13.0,0.5792187015907809,2,13.0
25460.0,4,15.0,0.75,8.642441190348098,4,15.0,0.5759273098356833,4,15.0
25465.0,1,1.0,0.05,8.639598436841418,1,13.0,0.5674267124558446,1,13.0
25470.0,3,0.0,0.0,8.944207264535526,1,1.0,0.6096369557385655,1,1.0
25475.0,3,5.0,0.21739130434782608,8.943922676910923,3,6.0,0.5725999608342017,3,6.0
25480.0,5,24.0,1.0,8.853525687532168,5,25.0,0.44995353039263225,5,25.0
25485.0,3,4.0,0.15384615384615385,9.029088181231105,3,24.0,0.5126744019160678,3,24.0
25490.0,2,0.0,0.0,9.344739611783165,2,5.0,0.5407843857305915,2,5.0
25495.0,2,8.0,0.26666666666666666,9.139868091905317,2,8.0,0.5748244941941434,2,8.0
25500.0,0,0.0,0.0,9.182948788251768,0,4.0,0.5480772618223229,0,4.0
25505.0,3,5.0,0.14285714285714285,9.58828142903474,3,6.0,0.5334891802487555,3,6.0
25510.0,2,2.0,0.05714285714285714,8.999976887903456,1,5.0,0.5145552799197832,1,5.0
25515.0,6,17.0,0.4473684210526316,8.37048311682546,4,11.0,0.4701984606928099,4,11.0
25520.0,4,15.0,0.40540540540540543,9.028141650020878,2,11.0,0.592449775153878,2,11.0
25525.0,5,28.0,0.7777777777777778,9.786561660234014,3,10.0,0.5694781637087971,3,10.0
